fy,pb,compb,projectid,budgetline,theme,orborough,orcd,sponsor,project,descr,amount,address,addresstype,stno,stname,borough,zipad,zipgis,latitude,longitude,comdist,ct10,cb10,ct00,cb00,cd
2009,,,p cn136,p d171,parks and recreation,q,32,addabbo,woodhaven malls ,,"300,000","atlantic ave & woodhaven blvd, queens, ny 11421",intersection,Atlantic Ave,woodhaven blvd,queens,11421,11416,40.8868801,-73.86538,409,18,,22102,,9
2009,,,ed cn005,hw d105,economic development,x,17,arroyo,roberto clemente plaza,,"200,000","cedar ave & w 179th st, bronx, ny 10453",intersection,Cedar Ave,w 179th st,bronx,10453,10453,40.85643652,-73.9157282,205,247,,15,,49
2009,,,p cn054,p d019,parks and recreation,q,20,liu,flushing meadows corona park,,"1,000,000","meadow lake promenade & ederle promenade, queens, ny 11375",intersection,Meadow Lake Promenade,ederle promenade,queens,11375,11355,40.851963,-73.835556,481,38302,,5302,,16
2009,,,p cn065,p d171,parks and recreation,x,13,vacca,keane square,,"150,000","westchester ave & buhre ave, bronx, ny 10461",intersection,Westchester Ave,buhre ave,bronx,10461,10461,40.84710382,-73.83200902,210,26601,,161,,6
2009,,,p cn220,p d018,parks and recreation,m,10,martinez,highbridge park,,"500,000","amsterdam ave & w 175th st, ny, ny 10033",intersection,Amsterdam Ave,w 175th st,manhattan,10033,10033,40.84439257,-73.93334059,112,261,,628,,46
2009,,,p cn700,p d018,parks and recreation,m,10,martinez,highbridge park,,"1,500,000","amsterdam ave & w 175th st, ny, ny 10033",intersection,Amsterdam Ave,w 175th st,manhattan,10033,10033,40.84439257,-73.93334059,112,261,,292,,28
2009,,,hd cn027,hd dn514,housing preservation & development,m,9,dickens,greater harlem hdc,,"1,000,000","135th st & st nicholas ave, ny, ny 10030",intersection,135th st,st nicholas ave,manhattan,10030,10030,40.8171,-73.94797,110,22102,,28,,2
2009,,,pv cn001,pv d034,cultural affairs,m,"6, 23, 24, 47","brewer, weprin, gennaro, recchia jr",american museum of natural history,,"3,000,000","central park west & w 77th st, ny, ny 10024",intersection,Central Park West,w 77th st,manhattan,10024,10024,40.815292,-73.90261,107,161,,628,,46
2009,,,p cn201,p d019,parks and recreation,q,31,sanders jr,odonahue park,,"2,000,000","beach 17th st & boardwalk, queens, ny 11691",intersection,Beach 17th St,boardwalk,queens,11691,11691,40.78559,-73.83633,414,101001,,31902,,49
2009,,,pv cn500,pv d034,cultural affairs,a,24,gennaro,american museum of natural history,,"1,000,000","central park west & w 77th st, ny, ny 10024",intersection,Central Park West,w 77th st,manhattan,10024,10024,40.780165,-73.9706629,107,161,,132,,5
2009,,,p cn095,p d018,parks and recreation,m,5,lappin,john jay bathhouse,,"600,000","york ave & e 77th st, ny, ny 10075",intersection,York Ave,e 77th st,manhattan,10075,10075,40.7709916,-73.94899748,108,132,,539,,34
2009,,,pv cn134,pw dn188,cultural affairs,a,47,recchia jr,intrepid museum foundation,,"2,500,000","w 46th st & 12th ave, ny, ny 10036",intersection,W 46th St,12th ave,manhattan,10036,10036,40.76485345,-73.99523767,104,129,,137,,4
2009,,,pv cn024,pv d291,cultural affairs,q,"23, 47, 94","weprin, recchia jr, queens delegation",queens museum,,"2,500,000","44th ave & 114th st, queens, ny 11368",intersection,44th ave,114th st,queens,11368,11368,40.75031265,-73.85084893,404,399,,287,,10
2009,,,p cn181,p d019,parks and recreation,q,24,gennaro,flushing meadows corona park,,"600,000","meadow lake promenade & ederle promenade, queens, ny 11375",intersection,Meadow Lake Promenade,ederle promenade,queens,11375,11355,40.73999273,-73.83929894,481,38302,,300,,13
2009,,,p cn004,p d019,parks and recreation,q,25,sears,libra triangle,,"35,000","broadway & 51st ave, queens, ny 11373",intersection,Broadway,51st ave,queens,11373,11373,40.73947862,-73.87627233,404,471,,945,,19
2009,,,p cn131,p d171,parks and recreation,q,29,katz,pebblestone triangle,,"375,000","68th ave & selfridge st, queens, ny 11375",intersection,68th Ave,selfridge st,queens,11375,11375,40.73135,-73.7882,406,707,,137,,4
2009,,,p cn005,p d019,parks and recreation,q,25,sears,vietnam veterans triangle,,"35,000","77th st & 41st ave, queens, ny 11373",intersection,77th st,41st ave,queens,11373,11373,40.725327,-73.97621,404,267,,161,,6
2009,,,p cn099,p d018,parks and recreation,m,8,mark-viverito,swedish cottage,,"120,000","central park west & w 77th st, ny, ny 10024",intersection,Central Park West,w 77st,manhattan,10024,10024,40.721095,-73.844195,107,161,,622,,48
2009,,,p cn041,p d021,parks and recreation,x,17,arroyo,fox playground,,"500,000","southern blvd & e 156th st, bronx, ny 10455",intersection,Southern Blvd,e 156th st,bronx,10455,10455,40.721095,-73.844195,202,85,,628,,46
2009,,,e cn510,e d001,education,m,1,gerson,space explorers,,"175,000","montgomery st & henry st, ny, ny 10002",intersection,Montgomery St,henry st,manhattan,10002,10002,40.71387826,-73.98476471,103,201,,2,,30
2009,,,p cn018,p d017,parks and recreation,b,"33, 39, 92","yassky, deblasio, brooklyn delegation",brooklyn bridge park,,"3,133,000","old fulton st & water st, brooklyn, ny 11201",intersection,Old Fulton St,water st,brooklyn,11201,11201,40.70290254,-73.99427279,302,1,,302,,33
2009,,,pv cn071,pv dn573,cultural affairs,a,"33, 35, 47","yassky, james, recchia jr",friends of the ny transit museum,,"150,000","boerum pl & schermerhorn st, brooklyn, ny 11201",intersection,Boerum Pl,schermerhorn st,brooklyn,11201,11201,40.69101123,-73.98795176,302,9,,71,,17
2009,,,p cn127,p d019,parks and recreation,q,28,white jr,vic hanson community center,,"1,000,000","guy brewer blvd & 134th ave, queens, ny 11434",intersection,Guy Brewer Blvd,134th ave,queens,11434,11434,40.67411868,-73.77347813,412,294,,88901,,20
2009,,,p cn025,p d020,parks and recreation,r,50,oddo,cromwell center,,"211,000","bay st & hannah st, staten island, ny 10301",intersection,Bay St,hannah st,staten island,10301,10301,40.63612424,-74.07496989,501,21,,302,,33
2009,,,p cn159,p d020,parks and recreation,r,49,mcmahon,cromwell center,,"75,000","bay st & hannah st, staten island, ny 10301",intersection,Bay St,hannah st,staten island,10301,10301,40.62061,-73.958595,501,21,,332,,15
2009,,,p cn866,p d019,parks and recreation,q,31,sanders jr,lannett playground,,"350,000","lanett ave & beach 8th st, queens, ny 11691",intersection,Lanett Ave,beach 8th st,queens,11691,11691,40.59939849,-73.74327524,414,101002,,405,,21
2009,,,p cn150,p d017,parks and recreation,b,46,fidler,seba playground,,"575,000","gerritsen ave & seba ave, brooklyn, ny 11229",intersection,Gerritsen Ave,seba ave,brooklyn,11229,11229,40.58980935,-73.91938669,315,628,,964,,31
2009,,,pv cn400,pv d467,cultural affairs,m,47,recchia jr,times square alliance,,"400,000","7th ave & w 47th st, ny, ny 10036",intersection,7th Ave,w 47th st,manhattan,10036,10036,40.75939221,-73.98440903,105,125,,2901,,35
2009,,,p cn128,p d019,parks and recreation,q,29,katz,austin playground,,"400,000","austin st & 76th dr, queens, ny 11375",intersection,Austin St,76th dr,queens,11375,11375,40.71540758,-73.83528955,406,76901,,193,,16
2009,,,p cn002,p d019,parks and recreation,q,21,monserrate,flushing meadows corona park,,"400,000","meadow lake promenade & ederle promenade, queens, ny 11375",intersection,Meadow Lake Promenade,ederle promenade,queens,11375,11355,40.721095,-73.844195,481,38302,,508,,40
2009,,,p cn096,p d018,parks and recreation,m,5,lappin,john jay park,,"1,400,000","york ave & e 77th st, ny, ny 10075",intersection,York Ave,e 77th st,manhattan,10075,10075,40.7709916,-73.94899748,108,132,,508,,40
2009,,,hl cn500,hl d001,health,a,0,speaker,primary care initiative,,"4,144,000",citywide,citywide,,,,,,,,,,,,,
2009,,,ho cn500,ho d003,health and hospitals corporation,a,0,speaker,primary care initiative,,"2,256,000",citywide,citywide,,,,,,,,,,,,,
2009,,,e cn062,e d001,education,m,1,gerson,swphs complex,,"75,000",cd 1,cd,,,,,,,,,,,,,
2009,,,ha cn002,ha d001,housing authority,m,1,gerson,nyc housing authority,,"800,000",cd 1,cd,,,,,,,,,,,,,
2009,,,p cn064,p d171,parks and recreation,x,13,vacca,cd 13 parks,,"750,000",cd 13,cd,,,,,,,,,,,,,
2009,,,hd cn042,hd dn547,housing preservation & development,x,14,baez,luther fordham housing partnership hdfc,,"500,000",cd 14,cd,,,,,,,,,,,,,
2009,,,p cn179,p d822,parks and recreation,x,16,foster,cd 16 parks,,"35,000",cd 16,cd,,,,,,,,,,,,,
2009,,,pw cn110,pw dn589,public buildings,m,17,arroyo,sanctuary for families,,"701,000",cd 17,cd,,,,,,,,,,,,,
2009,,,e cn459,e d001,education,q,21,monserrate,cd 21 schools,,"1,100,000",cd 21,cd,,,,,,,,,,,,,
2009,,,p cn017,p d016,parks and recreation,q,22,vallone jr,cd 22 parks,,"85,000",cd 22,cd,,,,,,,,,,,,,
2009,,,e cn206,e d001,education,q,25,sears,ps 288q ,,"105,000",cd 25,cd,,,,,,,,,,,,,
2009,,,e cn168,e d001,education,b,39,deblasio,cd 39 schools,,"840,000",cd 39,cd,,,,,,,,,,,,,
2009,,,e cn729,e d001,education,b,43,gentile,cd 43 schools,,"120,000",cd 43,cd,,,,,,,,,,,,,
2009,,,p cn888,p d017,parks and recreation,b,44,felder,cd 44 parks,,"500,000",cd 44,cd,,,,,,,,,,,,,
2009,,,e cn745,e d001,education,b,47,recchia jr,ps 280k ,,"50,000",cd 47,cd,,,,,,,,,,,,,
2009,,,e cn505,e d001,education,m,7,jackson,cd 5 schools,,"158,000",cd 5,cd,,,,,,,,,,,,,
2009,,,p cn029,p dn568,parks and recreation,r,50,oddo,parents park,,"250,000",cd 50,cd,,,,,,,,,,,,,
2009,,,p cn026,p d822,parks and recreation,r,50,oddo,staten island parks,,"250,000",cd 50,cd,,,,,,,,,,,,,
2009,,,hl cn110,hl dn564,health,a,6,brewer,primary care health information,,"2,230,000",cd 6,cd,,,,,,,,,,,,,
2009,,,hd cn047,hd dn525,housing preservation & development,a,8,mark-viverito,nyc partnership housing development fund co inc ,,"5,000,000",cd 8,cd,,,,,,,,,,,,,
2009,,,p cn097,p d018,parks and recreation,m,8,mark-viverito,green thumb  district and community gardens,,"35,000",cd 8,cd,,,,,,,,,,,,,
2009,,,p cn190,p d021,parks and recreation,x,15,rivera,bronx river greenway signage,,"41,000","1 bronx river pkwy, bronx, ny 10462",,1,bronx river pkwy   ,bronx,10462,10462,40.847721,-73.869214,227,334,1039,334,9024,15
2009,,,hl cn301,hl d001,health,b,"37, 92","dilan, brooklyn delegation",brookdale university hospital and medical center,,"410,000","1 brookdale plaza, brooklyn, ny 11212",,1,brookdale plaza    ,brooklyn,11212,11212,40.654163,-73.911584,317,890,6003,890,6000,42
2009,,,pw cn002,pw d005,public buildings,m,6,brewer,big apple greeter,,"51,000","1 centre st, ny, ny 10013",,1,centre st    ,manhattan,10013,10007,40.713001,-74.004181,101,29,4019,29,5012,1
2009,,,p cn194,p d018,parks and recreation,m,3,quinn,dapolito rec center,,"1,200,000","1 clarkson st, ny, ny 10014",,1,clarkson st    ,manhattan,10014,10014,40.729368,-74.005484,102,67,4005,67,4005,3
2009,,,pv cn204,pv d467,cultural affairs,m,"8, 9, 47, 97","mark-viverito, dickens, recchia jr, blac",east harlem arts and education ldc,,"1,250,000","1 east 104th st, ny, ny 10029",,1,east 104th st   ,manhattan,10029,10029,40.792888,-73.951826,111,168,3001,168,3001,8
2009,,,p cn199,p d017,parks and recreation,b,33,yassky,grand army plaza ,,"340,000","1 grand army plaza, brooklyn, ny 11238",,1,grand army plaza   ,brooklyn,11238,11238,40.673566,-73.968719,308,207,2001,207,2001,35
2009,,,p cn219,p d018,parks and recreation,m,5,lappin,one sutton place park,,"600,000","1 sutton pl s, ny, ny 10022",,1,sutton pl s   ,manhattan,10022,10022,40.757259,-73.960735,106,10601,6004,10601,1002,5
2009,,,p cn080,p d017,parks and recreation,b,37,dilan,city line park ,,"2,500,000","1 wells street, brooklyn, ny 11208",,1,wells st,brooklyn,11208,11208,40.678276,-73.87596,305,1196,1000,1196,1003,37
2009,,,lb cn100,lb d104,brooklyn public library,b,"43, 92","gentile, brooklyn delegation",brooklyn public library,,"3,500,000","10 grand army plaza, brooklyn, ny 11238",,10,grand army plaza   ,brooklyn,11238,11238,40.672833,-73.969069,355,177,1000,177,1000,35
2009,,,pv cn011,pv d489,cultural affairs,m,"6, 23, 47","brewer, weprin, recchia jr",lincoln center for the performing arts inc,,0,"10 lincoln center plaza, ny, ny 10023",,10,lincoln center plaza   ,manhattan,10023,10023,40.772473,-73.982421,107,149,1002,149,2002,6
2009,,,e cn063,e d001,education,m,1,gerson,ps 131m ,,"35,000","100 hester st, manhattan, ny 10002",,100,hester st    ,manhattan,10002,10002,40.716553,-73.993092,103,16,3001,16,2001,1
2009,,,e cn259,e d001,education,b,34,reyna,ps 123k suydam,,"225,000","100 irving ave, brooklyn, ny 11237",,100,irving ave    ,brooklyn,11237,11237,40.703767,-73.922702,304,445,2000,445,2003,34
2009,,,e cn023,e d001,education,r,49,mcmahon,ps 14r cornelius vanderbilt,,"100,000","100 tompkins ave, staten island, ny 10304",,100,tompkins ave    ,staten island,10304,10304,40.622455,-74.078508,501,29,2000,29,1000,49
2009,,,e cn319,e d001,education,m,6,brewer,ps 44m william oshea,,"500,000","100 west 77 st, manhattan, ny 10024",,100,west 77 st   ,manhattan,10024,10024,40.780822,-73.976855,107,161,1001,161,3001,6
2009,,,e cn231,e d001,education,m,6,brewer,ps 9m renaissance for music and art,,"100,000","100 west 84 st, manhattan, ny 10024",,100,west 84 st   ,manhattan,10024,10024,40.785287,-73.97343,107,169,4000,169,3000,6
2009,,,pv cn012,pv d022,cultural affairs,m,"5, 23, 47","lappin, weprin, recchia jr",metropolitan museum of art,,"3,000,000","1000 5th ave, ny, ny 10028",,1000,5th ave    ,manhattan,10028,10028,40.778633,-73.962546,164,143,1021,143,1027,6
2009,,,e cn472,e d001,education,x,15,rivera,ps 6x west farms,,"425,000","1000 east tremont ave, bronx, ny 10460",,1000,east tremont ave   ,bronx,10460,10460,40.840755,-73.881707,206,359,1005,359,1002,17
2009,,,pv cn026,pv d490,cultural affairs,r,"47, 49","recchia jr, mcmahon",snug harbor cultural center and botanical garden,,"1,500,000","1000 richmond terrace, staten island, ny 10301",,1000,richmond terrace    ,staten island,10301,10310,40.645232,-74.104674,501,97,3005,89,1000,49
2009,,,pv cn027,pv d477,cultural affairs,r,"47, 49","recchia jr, mcmahon",staten island childrens museum,,0,"1000 richmond terrace, staten island, ny 10301",,1000,richmond terrace    ,staten island,10301,10310,40.645232,-74.104674,501,97,3005,89,1000,49
2009,,,lb cn007,lb d104,brooklyn public library,b,45,stewart,rugby branch ,,"732,000","1000 utica ave, brooklyn, ny 11203",,1000,utica ave    ,brooklyn,11203,11203,40.648725,-73.930067,317,860,1003,860,1003,45
2009,,,e cn483,e dn540,education,x,17,arroyo,charter school 185x bronx lighthouse,,"107,000","1001 intervale ave, bronx, ny 10459",,1001,intervale ave    ,bronx,10459,10459,40.823135,-73.896878,202,12901,1005,12901,1006,17
2009,,,e cn351,e d001,education,b,33,yassky,ps 318k eugenio maria de hostos,,"200,000","101 walton st, brooklyn, ny 11206",,101,walton st    ,brooklyn,11206,11206,40.7025,-73.948869,301,509,1009,509,1007,33
2009,,,e cn460,e d001,education,r,49,mcmahon,ps 49r bertha a dreyfus,,"50,000","101 warren st, staten island, ny 10304",,101,warren st    ,staten island,10304,10304,40.620347,-74.081643,501,29,3000,29,2000,49
2009,,,e cn115,e d001,education,q,32,addabbo,ps 480q john adams,,"100,000","101-01 rockaway blvd, queens, ny11417",,101-01,rockaway blvd    ,queens,11417,11417,40.679639,-73.837298,410,864,2001,864,2001,32
2009,,,e cn145,e d001,education,b,46,fidler,ps 272k curtis estabrook,,"50,000","101-24 seaview ave, brooklyn, ny 11236",,101-24,seaview ave    ,brooklyn,11236,11236,40.635916,-73.886412,318,1034,1004,1034,2000,46
2009,,,p cn216,p d017,parks and recreation,b,48,nelson,manhattan beach park ,,"300,000","1017 oriental blvd, brooklyn, ny 11235",,1017,oriental blvd    ,brooklyn,11235,11235,40.57787,-73.943954,315,620,2006,618,1005,48
2009,,,e cn396,e d001,education,x,17,arroyo,ps 682x fannie lou hamer freedom,,"80,000","1021 jennings st, bronx, ny 10460",,1021,jennings st    ,bronx,10460,10460,40.83087,-73.88626,203,157,3003,157,2000,17
2009,,,e cn397,e d001,education,x,17,arroyo,ps 682x fannie lou hamer freedom,,"65,000","1021 jennings st, bronx, ny 10460",,1021,jennings st    ,bronx,10460,10460,40.83087,-73.88626,203,157,3003,157,2000,17
2009,,,e cn237,e d001,education,m,6,brewer,ps 485m laguardia,,"500,000","103 amsterdam ave, manhattan, ny10023",,103,amsterdam ave    ,manhattan,10023,10023,40.773196,-73.985569,107,149,1002,149,2002,6
2009,,,e cn072,e d001,education,m,8,mark-viverito,ps 54m booker t washington,,"100,000","103 west 107 st, manhattan, ny 10025",,103,west 107 st   ,manhattan,10025,10025,40.800119,-73.962837,107,193,6000,193,6000,7
2009,,,e cn485,e d001,education,q,32,addabbo,ps 65q raymond york,,"100,000","103-22 99 st, queens, ny 11417",,103-22,99 st    ,queens,11417,11417,40.68259,-73.841202,410,4002,1002,4002,1002,32
2009,,,e cn144,e d001,education,b,46,fidler,ps 251k paerdegat,,"50,000","1037 east 54 st, brooklyn, ny 11234",,1037,east 54 st   ,brooklyn,11234,11234,40.632524,-73.924417,318,722,1007,722,1007,46
2009,,,e cn449,e d001,education,q,27,comrie jr,ps 34q john harvard ,,"175,000","104-12 springfield blvd, queens, ny 11429",,104-12,springfield blvd    ,queens,11429,11429,40.711753,-73.736624,413,582,1000,578,3000,27
2009,,,e cn947,e d001,education,q,31,sanders jr,ps 53q brian piccolo,,"35,000","10-45 nameoke st, queens, ny 11691",,Oct-45,nameoke st    ,queens,11691,11691,40.603622,-73.749097,414,103202,4002,103202,2016,31
2009,,,e cn028,e d001,education,r,49,mcmahon,ps 450r curtis,,"500,000","105 hamilton ave, staten island, ny 10301",,105,hamilton ave    ,staten island,10301,10301,40.644735,-74.081222,501,7,2000,7,2000,49
2009,,,e cn302,e d001,education,r,50,oddo,ps 48r william g wilcox,,"70,000","1050 targee st, staten island, ny 10304",,1050,targee st    ,staten island,10304,10304,40.603484,-74.091237,502,50,1007,50,2011,50
2009,,,hd cn012,hd dn551,housing preservation & development,m,8,mark-viverito,lowen development,,"1,000,000","106 w 116th st, ny, ny 10026",,106,w 116th st   ,manhattan,10026,10026,40.802329,-73.950433,110,218,2000,218,2000,9
2009,,,e cn304,e d001,education,r,50,oddo,ps 54r charles w leng,,"75,000","1060 willowbrook road, staten island, ny 10314",,1060,willowbrook road    ,staten island,10314,10314,40.603232,-74.137981,502,27302,1000,27302,1004,50
2009,,,hl cn900,hl dn440,health,x,91,bronx delegation,urban health plan,,0,"1065 southern blvd, bronx, ny 10459",,1065,southern blvd    ,bronx,10459,10459,40.825276,-73.891935,202,12701,2000,12701,2000,17
2009,,,lb cn011,lb d104,brooklyn public library,b,33,yassky,greenpoint branch ,,"750,000","107 norman ave, brooklyn, ny 11222",,107,norman ave    ,brooklyn,11222,11222,40.72596,-73.950756,301,573,3003,573,3003,33
2009,,,e cn146,e d001,education,b,46,fidler,ps 276k ,,"50,000","1070 east 83 st, brooklyn, ny 11236",,1070,east 83 st   ,brooklyn,11236,11236,40.634085,-73.907925,318,996,1002,996,1003,46
2009,,,pv cn072,pv dn176,cultural affairs,m,"4, 47","garodnick, recchia jr",guggenheim museum,,0,"1071 5th ave, ny, ny 10128",,1071,5th ave    ,manhattan,10128,10128,40.782925,-73.959391,108,15002,4002,15002,4002,4
2009,,,p cn051,p d019,parks and recreation,q,27,comrie jr,detective keith williams park ,,"500,000","107-25 wren pl, queens, ny 11433",,107-25,wren pl,queens,11433,11433,40.700606,-73.782302,412,414,1006,414,1003,27
2009,,,e cn152,e d001,education,b,46,fidler,ps 114k ryder,,"200,000","1077 remsen ave, brooklyn, ny 11236",,1077,remsen ave    ,brooklyn,11236,11236,40.642792,-73.908806,318,964,1001,964,1002,46
2009,,,lq cn009,lq d122,queens public library,q,27,comrie jr,south jamaica branch,,"65,000","108-41 guy r brewer blvd, queens, ny 11433",,108-41,guy r brewer blvd  ,queens,11433,11433,40.695879,-73.790734,412,258,2001,258,2002,27
2009,,,e cn027,e d001,education,r,49,mcmahon,ps 27r anning s prall,,"200,000","11 clove lake place, staten island, ny 10310",,11,clove lake place   ,staten island,10310,10310,40.628169,-74.116997,501,125,2002,125,2003,49
2009,,,e cn608,e d001,education,b,41,mealy,ps 396k,,"35,000","110 chester st, brooklyn, ny 11212",,110,chester st    ,brooklyn,11212,11212,40.668856,-73.911499,316,924,1004,904,2002,41
2009,,,e cn036,e d001,education,m,4,garodnick,ps 169m robert f kennedy,,"35,000","110 east 88 st, manhattan, ny 10128",,110,east 88 st   ,manhattan,10128,10128,40.781227,-73.955673,108,14802,3001,14802,3001,4
2009,,,e cn604,e d001,education,b,41,mealy,ps 189k biligual center,,"500,000","1100 east ny ave, brooklyn, ny11212",,1100,east ny ave   ,brooklyn,11212,11212,40.665565,-73.926246,317,892,1001,892,3001,41
2009,,,p cn063,p d021,parks and recreation,x,13,vacca,loreto park ,,"500,000","1100 morris park ave, bronx, ny 10461",,1100,morris park ave   ,bronx,10461,10461,40.849595,-73.85292,211,254,1001,254,1001,13
2009,,,e cn997,e d001,education,b,44,felder,ps 217k colonel david marcus,,"260,000","1100 newkirk ave, brooklyn, ny 11230",,1100,newkirk ave    ,brooklyn,11230,11230,40.63398,-73.966558,314,526,2002,526,2002,40
2009,,,pw cn085,pw dn531,public buildings,q,"24, 29, 99","gennaro, katz, technical adjustments",forest hills community house,,"250,000","11001 62nd drive, queens, ny 11375",,11001,62nd drive    ,queens,11375,11375,40.736372,-73.848731,406,745,1004,745,1000,29
2009,,,p cn172,p d019,parks and recreation,q,22,vallone jr,two coves garden / goodwill park ,,"450,000","11-01 30th ave, queens, ny 11102",,1-Nov,30th ave    ,queens,11102,11102,40.771972,-73.932086,401,81,1000,81,1000,22
2009,,,e cn600,e d001,education,b,41,mealy,ps 327k dr rose b english,,"112,000","111 bristol st, brooklyn, ny 11212",,111,bristol st    ,brooklyn,11212,11212,40.668475,-73.912351,316,924,1004,904,2002,41
2009,,,e cn120,e d001,education,q,32,addabbo,ps 100q glen morrps ,,"100,000","111-11 118 st, queens, ny 11420",,111-11,118 st    ,queens,11420,11420,40.679984,-73.822078,410,102,2006,102,1000,28
2009,,,p cn217,p d019,parks and recreation,q,27,comrie jr,daniel oconnor ,,"900,000","111-20 merrick blvd, queens, ny 11433",,111-20,merrick blvd    ,queens,11433,11433,40.694195,-73.781237,412,266,1000,266,1000,27
2009,,,ln cn011,ln d003,new york public library,m,4,garodnick,96th st branch,,"250,000","112 east 96th st, ny, ny 10218",,112,east 96th st   ,manhattan,10218,10128,40.786221,-73.951799,108,15801,4000,15801,4000,4
2009,,,e cn617,e d001,education,r,51,ignizio,ps 8r shirlee solomon,,"300,000","112 lindenwood road, staten island, ny 10308",,112,lindenwood road    ,staten island,10308,10308,40.547692,-74.151755,503,15601,1009,15601,1006,51
2009,,,e cn672,e d001,education,x,16,foster,ps 114x lups llorens torres,,"300,000","1155 cromwell ave, bronx, ny 10452",,1155,cromwell ave    ,bronx,10452,10452,40.834749,-73.923081,204,63,1000,187,1000,16
2009,,,e cn253,e d001,education,b,34,reyna,ps 545k ebc for public service  bushwick,,"100,000","1155 dekalb ave, brooklyn, ny 11221",,1155,dekalb ave    ,brooklyn,11221,11221,40.694507,-73.929107,304,393,3001,393,3002,34
2009,,,ed cn111,ed dn175,economic development,b,"33, 34","yassky, reyna",greenpoint manufacturing and design center ldc,,"1,500,000","1155-1205 manhattan ave, brooklyn, ny 11222",,1155-1205,manhattan ave    ,brooklyn,11222,11222,40.738162,-73.955442,301,563,1001,577,1000,33
2009,,,hd cn678,hd d003,housing preservation & development,b,35,james,cambridge heights hdfc,,"100,000","116 cambridge pl, brooklyn, ny 11238",,116,cambridge pl    ,brooklyn,11238,11238,40.683643,-73.962859,302,201,3000,201,3000,35
2009,,,e cn441,e d001,education,x,13,vacca,ps 108x philip j abinanti,,"100,000","1166 neill ave, bronx, ny 10461",,1166,neill ave    ,bronx,10461,10461,40.854726,-73.853227,211,288,1005,288,2005,13
2009,,,p cn049,p d019,parks and recreation,q,27,comrie jr,roy wilkins recreation center,,"750,000","117-05 merrick blvd, queens, ny 11434",,117-05,merrick blvd    ,queens,11434,11434,40.687536,-73.77558,412,426,1001,426,1000,27
2009,,,tf cn002,p d019,traffic,q,27,comrie jr,baisley park community garden,,"80,000","117-09 165th st, queens, ny 11434",,117-09,165th st    ,queens,11434,11434,40.684574,-73.78111,412,284,2002,284,2001,27
2009,,,e cn311,e d001,education,x,12,seabrook,ps 723x peace and diversity  ,,"500,000","1180 rev james polite ave, bronx, ny 10459",,1180,rev james polite ave  ,bronx,10459,10459,40.827315,-73.897612,202,131,2000,131,1001,17
